"PVWatts Hourly PV Performance Data"
"Requested Location","weymouth"
"Location","Lat, Lng: 50.61, -2.46"
"Latitude (DD)","50.61"
"Longitude (DD)","-2.46"
"Elevation (m)","6"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","11","18","0","0","10.4","4.2","0.2","0","10.4","0","0"
"1","11","19","0","0","10.3","4.4","0.2","0","10.3","0","0"
"1","11","20","0","0","10.2","4.8","0.2","0","10.2","0","0"
"1","11","21","0","0","10.1","5.1","0.2","0","10.1","0","0"
"1","11","22","0","0","10","5.4","0.2","0","10","0","0"
"1","11","23","0","0","10","5.6","0.2","0","10","0","0"
"1","12","0","0","0","9.9","5.9","0.2","0","9.9","0","0"
"1","12","1","0","0","9.8","6.1","0.2","0","9.8","0","0"
"1","12","2","0","0","9.7","6.2","0.2","0","9.7","0","0"
"1","12","3","0","0","9.5","6.1","0.2","0","9.5","0","0"
"1","12","4","0","0","9.4","6.2","0.2","0","9.4","0","0"
"1","12","5","0","0","9.5","6.5","0.2","0","9.5","0","0"
"1","12","6","0","0","9.8","6.9","0.2","0","9.8","0","0"
"1","12","7","0","0","10","7.2","0.2","0","10","0","0"
"1","12","8","0","0","10.3","7.2","0.2","0","0","0","0"
"1","12","9","0","4","10.7","7.3","0.2","3.705","10.743","10.795","0"
"1","12","10","0","7","11.1","7.2","0.2","6.488","11.177","19.83","3.274"
"1","12","11","0","9","11.4","7","0.2","8.346","11.501","25.862","9.092"
"1","12","12","0","26","11.6","6.7","0.2","24.138","11.902","78.425","59.791"
"1","12","13","3","72","11.7","6.4","0.2","70.455","12.609","238.818","214.501"
"1","12","14","0","39","11.7","6","0.2","36.245","12.187","118.77","98.707"
"1","12","15","0","18","11.4","5.6","0.2","16.705","11.632","50.193","32.56"
"1","12","16","0","3","11","5.2","0.2","0","11","0","0"
"1","12","17","0","0","10.6","5","0.2","0","10.6","0","0"
"1","12","18","0","0","10.1","4.8","0.2","0","10.1","0","0"
"1","12","19","0","0","9.5","4.6","0.2","0","9.5","0","0"
"1","12","20","0","0","8.7","4.5","0.2","0","8.7","0","0"
"1","12","21","0","0","8","4.4","0.2","0","8","0","0"
"1","12","22","0","0","7.5","4.3","0.2","0","7.5","0","0"
"1","12","23","0","0","7.1","4.2","0.2","0","7.1","0","0"
"1","13","0","0","0","6.8","4.2","0.2","0","6.8","0","0"
"1","13","1","0","0","6.5","4.2","0.2","0","6.5","0","0"
"1","13","2","0","0","6.3","4","0.2","0","6.3","0","0"
"1","13","3","0","0","6.2","3.9","0.2","0","6.2","0","0"
"1","13","4","0","0","5.9","4","0.2","0","5.9","0","0"
"1","13","5","0","0","5.7","4.1","0.2","0","5.7","0","0"
"1","13","6","0","0","5.5","4.2","0.2","0","5.5","0","0"
"1","13","7","0","0","5.4","4.3","0.2","0","5.4","0","0"
"1","13","8","0","0","5.6","4.3","0.2","0","0","0","0"
"1","13","9","0","23","6.1","4.4","0.2","21.35","6.448","68.947","50.65"
"1","13","10","5","105","6.5","4.3","0.2","111.901","8.36","391.62","361.889"
"1","13","11","38","160","6.7","4","0.2","207.873","10.31","740.732","698.631"
"1","13","12","42","175","6.8","3.9","0.2","230.19","10.857","821.098","776.149"
"1","13","13","88","150","6.8","3.8","0.2","224.485","10.818","802.419","758.132"
"1","13","14","28","129","6.7","3.7","0.2","160.737","9.611","564.995","529.121"
"1","13","15","0","18","6.4","3.6","0.2","16.704","6.703","51.606","33.923"
"1","13","16","0","4","6","3.9","0.2","3.805","6.056","7.127","0"
"1","13","17","0","0","5.9","4.1","0.2","0","5.9","0","0"
"1","13","18","0","0","5.8","4.3","0.2","0","5.8","0","0"
"1","13","19","0","0","5.8","4.5","0.2","0","5.8","0","0"
"1","13","20","0","0","5.8","4.6","0.2","0","5.8","0","0"
"1","13","21","0","0","5.8","4.7","0.2","0","5.8","0","0"
"1","13","22","0","0","5.8","4.7","0.2","0","5.8","0","0"
"1","13","23","0","0","5.8","4.7","0.2","0","5.8","0","0"
"1","14","0","0","0","5.9","4.6","0.2","0","5.9","0","0"
"1","14","1","0","0","6","4.6","0.2","0","6","0","0"
"1","14","2","0","0","6.1","4.6","0.2","0","6.1","0","0"
"1","14","3","0","0","6.1","4.5","0.2","0","6.1","0","0"
"1","14","4","0","0","6.2","4.5","0.2","0","6.2","0","0"
"1","14","5","0","0","6.4","4.5","0.2","0","6.4","0","0"
"1","14","6","0","0","6.4","4.7","0.2","0","6.4","0","0"
"1","14","7","0","0","6.5","4.8","0.2","0","6.5","0","0"
"1","14","8","0","0","6.9","5","0.2","0","0","0","0"
"1","14","9","0","5","7.4","5.3","0.2","4.632","7.467","13.9","0"
"1","14","10","0","7","7.9","5.8","0.2","6.489","7.989","20.156","3.587"
"1","14","11","0","9","8","6.1","0.2","8.346","8.111","26.293","9.507"
"1","14","12","0","10","8","6.2","0.2","9.275","8.122","29.363","12.469"
"1","14","13","0","9","8","6.2","0.2","8.346","8.11","26.281","9.496"
"1","14","14","0","60","7.8","6.1","0.2","57.623","8.566","195.688","172.899"
"1","14","15","0","4","7.5","6.2","0.2","3.704","7.548","10.68","0"
"1","14","16","0","4","7.1","6.4","0.2","3.805","7.141","7.087","0"
"1","14","17","0","0","6.9","6.9","0.2","0","6.9","0","0"
"1","14","18","0","0","7","7.3","0.2","0","7","0","0"
"1","14","19","0","0","7","7.5","0.2","0","7","0","0"
"1","14","20","0","0","6.9","7.7","0.2","0","6.9","0","0"
"1","14","21","0","0","6.9","7.7","0.2","0","6.9","0","0"
"1","14","22","0","0","6.8","7.7","0.2","0","6.8","0","0"
"1","14","23","0","0","6.7","7.7","0.2","0","6.7","0","0"
"1","15","0","0","0","6.6","7.7","0.2","0","6.6","0","0"
"1","15","1","0","0","6.5","7.7","0.2","0","6.5","0","0"
"1","15","2","0","0","6.4","7.7","0.2","0","6.4","0","0"
"1","15","3","0","0","6.3","7.7","0.2","0","6.3","0","0"
"1","15","4","0","0","6.3","7.7","0.2","0","6.3","0","0"
"1","15","5","0","0","6.2","7.8","0.2","0","6.2","0","0"
"1","15","6","0","0","6.2","7.9","0.2","0","6.2","0","0"
"1","15","7","0","0","6.2","8","0.2","0","6.2","0","0"
"1","15","8","0","0","6.5","8.2","0.2","0","0","0","0"
"1","15","9","1","54","7","8.4","0.2","54.308","7.573","181.788","159.493"
"1","15","10","3","101","7.3","8.6","0.2","105.254","8.398","367.597","338.718"
"1","15","11","11","146","7.4","8.7","0.2","160.743","9.064","569.935","533.886"
"1","15","12","37","180","7.5","8.6","0.2","232.935","9.933","833.704","788.308"
"1","15","13","25","165","7.5","8.4","0.2","195.937","9.582","698.038","657.449"
"1","15","14","29","137","7.4","8.3","0.2","171.082","9.231","604.187","566.924"
"1","15","15","0","18","7.1","8.2","0.2","16.703","7.278","51.919","34.225"
"1","15","16","0","4","6.9","8.3","0.2","3.805","6.934","7.095","0"
"1","15","17","0","0","7","8.3","0.2","0","7","0","0"
"1","15","18","0","0","7.1","8.2","0.2","0","7.1","0","0"
